Model,MAE,MSE,RMSE,R2,Adjusted_R2
Random Forest,0.3274252027374032,0.255169737347244,0.5051432839771741,0.8052747336256919,0.8048965345164434
Gradient Boosting,0.37165044848436773,0.29399901242474274,0.5422167577867202,0.7756433164710084,0.7752075666608039
Decision Tree,0.45390448401162786,0.49396854311945243,0.7028289572288925,0.6230424613065773,0.6223103272183161
Ridge,0.5331931195789734,0.555854858943597,0.7455567442814779,0.5758157428913684,0.5749918841739929
Linear Regression,0.5332001304956564,0.5558915986952444,0.7455813830127764,0.5757877060324508,0.5749637928613558
ElasticNet,0.8059952028394123,1.0442308546929173,1.0218761444974227,0.2031259919367321,0.20157828810946665
Lasso,0.9060685490007149,1.3106960720039365,1.1448563543099792,-0.00021908714592466794,-0.002161731646329601
