Model,MAE,MSE,RMSE,R2,Adjusted_R2
Gradient Boosting,16555.666542113693,702449924.1001631,26503.771884397192,0.9084198109538073,-3.4416391687403456
Lasso,18010.80125069868,803038113.8750353,28337.92712735064,0.8953058719820044,-4.077665208872786
Random Forest,17473.413574381986,826430483.7996672,28747.703974398846,0.892256149024627,-4.2255767723055895
Linear Regression,18287.69862268414,868709192.8794286,29473.873055291337,0.8867441658393297,-4.49290795679251
ElasticNet,18809.630842184775,882640879.0168452,29709.27261002607,0.8849278563681154,-4.5809989661464
Ridge,19004.408494371266,890534441.5751027,29841.823697205615,0.8838987524753943,-4.630910504943377
Decision Tree,26729.141432131757,1594267644.0483012,39928.28125587553,0.7921512591531679,-9.080663931071358
