Model,MAE,MSE,RMSE,R2,Adjusted_R2
Random Forest,3.9131417192579874,32.136144802316934,5.668875091437183,0.8084394745937522,0.7933162752195748
Gradient Boosting,3.903628005921563,34.15555964698772,5.8442758017557415,0.7964019333442361,0.7803284017661495
Ridge,5.302237130185329,53.44849719111389,7.310847911912399,0.6813985539620186,0.656245808222178
ElasticNet,5.3047906910012275,53.49366197738147,7.313936148024638,0.6811293309347854,0.6559553307454264
Lasso,5.305205963705587,53.50035971152004,7.314394008495854,0.6810894063738742,0.6559122542454958
Linear Regression,5.30535569007404,53.505619124502054,7.31475352452166,0.6810580555095946,0.6558784283129837
Decision Tree,5.9313253012048195,66.47144578313254,8.153002255803228,0.6037699868152279,0.572488669984851
